,WINFUT,DIFUT
2025-12-16,158578.0,0.13046
2025-12-17,157327.0,0.1326
2025-12-18,157923.0,0.13289
2025-12-19,158473.0,0.1319
2025-12-22,158142.0,0.13288
2025-12-23,160456.0,0.13262
2025-12-26,160897.0,0.1316
2025-12-29,160490.0,0.13154
2025-12-30,161125.0,0.13176
2026-01-02,160539.0,0.13043
2026-01-05,161870.0,0.12995
2026-01-06,163664.0,0.12987
2026-01-07,161975.0,0.12983
2026-01-08,162937.0,0.13011
2026-01-09,163370.0,0.1307
2026-01-12,163150.0,0.13022
2026-01-13,161973.0,0.12971
2026-01-14,165146.0,0.13046
2026-01-15,165568.0,0.13087
2026-01-16,164800.0,0.13204
2026-01-19,164849.0,0.1314
2026-01-20,166277.0,0.13197
2026-01-21,171817.0,0.13105
2026-01-22,175589.0,0.13027
2026-01-23,178859.0,0.13007
2026-01-26,178721.0,0.12977
2026-01-27,181919.0,0.12866
2026-01-28,184691.0,0.12787
2026-01-29,183134.0,0.12685
2026-01-30,181364.0,0.12697
2026-02-02,182793.0,0.12718
2026-02-03,185674.0,0.12653
2026-02-04,181708.0,0.12702
2026-02-05,182127.0,0.12675
2026-02-06,182950.0,0.1267
2026-02-09,186241.0,0.1264
2026-02-10,185929.0,0.12687
2026-02-11,189699.0,0.12646
2026-02-12,187766.0,0.12636
2026-02-13,186464.0,0.12625
2026-02-18,186016.0,0.12592
2026-02-19,188534.0,0.12605
2026-02-20,190534.0,0.1254
2026-02-23,188854.0,0.12521
2026-02-24,191490.0,0.12501
2026-02-25,191248.0,0.12521
2026-02-26,191005.0,0.12476
2026-02-27,188787.0,0.12611
2026-03-02,189307.0,0.12682
2026-03-03,183105.0,0.12866
2026-03-04,185366.0,0.12774
2026-03-05,180464.0,0.12989
2026-03-06,179365.0,0.13179
2026-03-09,180915.0,0.13247
2026-03-10,183447.0,0.12999
2026-03-11,183969.0,0.13123
2026-03-12,179285.0,0.13396
2026-03-13,177653.0,0.13839
2026-03-16,179875.0,0.13553
2026-03-17,180410.0,0.13649
