,WDOFUT,DIFUT
2025-12-16,5.413400173187256,0.13046
2025-12-17,5.507500171661377,0.1326
2025-12-18,5.518499851226807,0.13289
2025-12-19,5.521299839019775,0.1319
2025-12-22,5.53980016708374,0.13288
2025-12-23,5.590000152587891,0.13262
2025-12-26,5.519499778747559,0.1316
2025-12-29,5.542500019073486,0.13154
2025-12-30,5.5690999031066895,0.13176
2026-01-02,5.517000198364258,0.13043
2026-01-05,5.421599864959717,0.12995
2026-01-06,5.40749979019165,0.12987
2026-01-07,5.372000217437744,0.12983
2026-01-08,5.383900165557861,0.13011
2026-01-09,5.386600017547607,0.1307
2026-01-12,5.370299816131592,0.13022
2026-01-13,5.373700141906738,0.12971
2026-01-14,5.371300220489502,0.13046
2026-01-15,5.396100044250488,0.13087
2026-01-16,5.3678998947143555,0.13204
2026-01-19,5.367700099945068,0.1314
2026-01-20,5.36870002746582,0.13197
2026-01-21,5.374300003051758,0.13105
2026-01-22,5.31879997253418,0.13027
2026-01-23,5.283699989318848,0.13007
2026-01-26,5.288899898529053,0.12977
2026-01-27,5.279099941253662,0.12866
2026-01-28,5.183599948883057,0.12787
2026-01-29,5.1971001625061035,0.12685
2026-01-30,5.189199924468994,0.12697
2026-02-02,5.255000114440918,0.12718
2026-02-03,5.259399890899658,0.12653
2026-02-04,5.237500190734863,0.12702
2026-02-05,5.23799991607666,0.12675
2026-02-06,5.270500183105469,0.1267
2026-02-09,5.21589994430542,0.1264
2026-02-10,5.1915998458862305,0.12687
2026-02-11,5.196199893951416,0.12646
2026-02-12,5.198699951171875,0.12636
2026-02-13,5.213900089263916,0.12625
2026-02-18,5.2204999923706055,0.12592
2026-02-19,5.234399795532227,0.12605
2026-02-20,5.208799839019775,0.1254
2026-02-23,5.176499843597412,0.12521
2026-02-24,5.170899868011475,0.12501
2026-02-25,5.1519999504089355,0.12521
2026-02-26,5.124199867248535,0.12476
2026-02-27,5.136600017547607,0.12611
2026-03-02,5.1296000480651855,0.12682
2026-03-03,5.170300006866455,0.12866
2026-03-04,5.277299880981445,0.12774
2026-03-05,5.230100154876709,0.12989
2026-03-06,5.263400077819824,0.13179
2026-03-09,5.243500232696533,0.13247
2026-03-10,5.2052998542785645,0.12999
2026-03-11,5.162399768829346,0.13123
2026-03-12,5.151400089263916,0.13396
2026-03-13,5.243899822235107,0.13839
2026-03-16,5.329100131988525,0.13553
2026-03-17,5.233399868011475,0.13649
